datahora,pme_wrf,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-03-11T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000
2021-03-11T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.239
2021-03-11T18:00:00+00:00,0.910,1.040,1.730,0.930,0.840,1.160,0.900,0.910,1.200,0.580,0.730,0.590,1.030,0.940,0.630,0.890,1.080,1.240,0.640,0.950,0.880,0.220,0.800,0.950,1.020,1.990,1.010,0.620,0.750,0.780,0.840,0.820,0.970,0.070,1.220,0.930,0.910,0.510,0.780,0.770,1.070,0.300,1.730,1.220,0.680,1.170,0.380,0.570,1.150,0.410,1.070,0.310,2.239
2021-03-12T00:00:00+00:00,0.000,0.300,0.680,0.130,0.230,0.190,0.030,0.180,0.190,0.190,0.050,0.050,0.070,0.050,0.060,0.770,0.010,0.530,0.120,0.240,0.010,0.160,0.060,0.050,0.130,0.240,0.010,0.130,0.110,0.020,0.050,0.160,0.090,0.000,0.210,0.420,0.330,0.000,0.600,0.300,0.260,0.010,0.140,0.520,0.170,0.150,0.000,0.110,0.120,0.230,0.500,0.020,0.000
2021-03-12T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-12T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.173
2021-03-12T18:00:00+00:00,0.390,0.020,0.010,0.150,0.040,0.120,0.140,0.040,0.200,0.270,0.390,0.090,0.000,0.000,0.740,0.430,0.000,0.380,0.550,0.860,0.420,0.060,0.100,0.020,0.440,0.040,0.520,0.090,0.650,0.350,0.590,0.500,0.100,0.020,0.130,0.010,0.410,0.000,0.190,0.140,0.110,0.010,0.210,0.000,0.180,0.330,0.190,0.140,0.010,0.160,0.020,0.000,2.173
2021-03-13T00:00:00+00:00,0.000,0.010,0.000,0.020,0.000,0.000,0.000,0.000,0.030,0.030,0.020,0.000,0.000,0.000,0.140,0.010,0.000,0.040,0.030,0.610,0.010,0.010,0.000,0.050,0.070,0.010,0.060,0.010,0.030,0.020,0.040,0.000,0.010,0.010,0.000,0.000,0.050,0.000,0.000,0.000,0.010,0.000,0.030,0.000,0.050,0.050,0.020,0.010,0.000,0.000,0.000,0.000,0.000
2021-03-13T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-13T12:00:00+00:00,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.228
2021-03-13T18:00:00+00:00,0.130,0.240,0.170,0.960,0.520,0.450,0.140,0.560,0.360,1.990,0.180,1.150,0.320,0.300,0.360,0.660,0.050,0.670,0.810,0.510,0.590,0.410,0.240,0.200,1.780,0.290,0.180,0.290,0.350,0.210,0.810,0.110,0.430,0.400,0.290,0.040,0.250,0.180,0.360,0.610,0.540,0.070,1.340,0.580,0.400,0.620,0.110,0.250,0.000,0.120,0.140,0.100,2.228
2021-03-14T00:00:00+00:00,0.100,0.000,0.090,0.610,0.020,0.070,0.000,0.010,0.260,0.160,0.000,0.270,0.000,0.010,0.400,0.330,0.000,1.090,0.510,0.080,0.300,0.920,0.060,0.010,0.380,0.090,0.010,0.040,0.060,0.080,0.010,0.000,0.070,0.010,0.010,0.010,0.130,0.010,0.020,0.030,0.310,0.040,0.410,0.580,0.250,0.020,0.020,0.010,0.040,0.010,0.000,0.010,0.000
2021-03-14T06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.010,0.050,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.170,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-14T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.826
2021-03-14T18:00:00+00:00,0.660,0.290,0.020,0.350,0.630,0.240,0.330,0.270,4.690,0.480,0.110,0.130,0.160,0.130,0.300,0.160,0.090,0.030,2.280,0.190,0.990,1.760,0.060,0.190,0.200,0.260,0.200,0.380,0.190,0.110,0.050,0.170,0.130,0.230,0.170,0.560,0.350,0.050,0.110,0.170,0.080,0.360,1.670,0.080,0.130,0.020,0.050,0.080,0.050,0.040,0.330,0.050,1.826
2021-03-15T00:00:00+00:00,0.260,0.260,0.070,0.240,0.720,0.200,0.120,0.110,1.230,1.060,-0.000,0.000,0.210,0.010,0.360,0.000,0.000,0.260,6.230,1.200,1.420,0.330,0.020,0.420,0.100,0.230,0.090,0.000,0.010,0.380,0.010,0.030,0.000,0.000,0.120,0.220,0.540,0.020,0.240,0.040,0.020,0.130,1.390,0.330,0.080,0.430,0.020,0.020,0.010,0.010,0.110,0.000,0.000
2021-03-15T06:00:00+00:00,0.010,-0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,4.520,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.190,0.000,0.000,0.000,0.000,0.000,0.020,0.100,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.320,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021-03-15T12:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.070,0.010,0.000,-0.000,0.000,0.050,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.985
2021-03-15T18:00:00+00:00,0.550,0.100,0.110,0.520,1.320,0.440,0.100,0.480,5.080,2.410,0.340,0.730,0.040,0.160,3.770,0.100,0.000,0.950,5.430,0.280,2.310,0.650,0.010,0.300,1.530,0.330,0.050,0.760,0.480,0.570,0.010,0.300,0.010,0.190,0.210,0.130,9.370,0.030,0.950,0.230,0.330,0.540,9.470,0.030,0.530,0.260,0.230,0.160,0.050,0.510,0.040,0.100,1.985
2021-03-16T00:00:00+00:00,1.540,0.000,0.440,0.030,0.600,0.160,0.100,1.750,1.080,1.390,0.140,0.960,0.010,0.010,1.720,0.000,0.000,2.890,1.250,0.730,1.850,2.150,0.000,0.490,0.610,1.630,0.030,1.160,0.290,1.890,0.040,0.110,0.000,0.000,0.030,0.310,1.340,0.000,0.600,0.000,0.100,0.190,0.760,0.080,3.410,0.110,0.120,0.000,0.080,0.420,0.000,0.050,0.000
2021-03-16T06:00:00+00:00,0.030,0.000,0.010,0.000,0.390,0.000,0.000,0.010,0.090,0.090,0.000,0.160,0.000,0.000,0.010,0.000,0.000,0.360,0.150,0.280,0.000,0.050,0.000,0.010,0.020,0.310,0.160,2.470,0.010,0.450,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.070,0.000,0.070,0.010,0.000,0.000,0.450,0.000,2.510,0.000,0.000,0.160,0.000,0.000,0.000
2021-03-16T12:00:00+00:00,0.000,0.000,0.000,0.000,0.010,0.010,0.010,0.040,0.000,0.460,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.270,0.000,0.000,0.010,0.010,0.020,0.010,0.230,0.100,0.040,0.960,0.000,0.000,0.010,0.000,0.000,0.000,0.630,0.050,0.130,0.040,0.000,0.010,0.020,0.000,0.000,0.000,0.490,0.000,0.000,0.040,0.000,0.000,1.916
2021-03-16T18:00:00+00:00,4.880,1.830,0.040,0.400,3.260,4.970,0.270,0.590,1.040,3.400,0.040,3.160,1.650,0.530,8.850,0.180,0.360,0.810,10.140,7.600,6.110,2.820,0.600,0.370,6.980,0.250,0.140,1.500,2.180,2.290,0.120,0.140,1.380,0.650,0.640,0.050,11.650,2.240,2.480,0.580,0.280,0.330,0.670,1.300,1.600,0.490,3.240,0.330,0.390,0.430,0.020,0.110,1.916
2021-03-17T00:00:00+00:00,2.110,0.820,0.020,1.340,2.830,0.660,0.040,2.520,0.980,3.450,0.800,2.220,0.510,0.140,4.590,0.010,0.020,0.570,5.860,0.130,1.060,1.820,0.320,1.550,1.770,0.170,0.200,1.470,1.090,1.380,0.130,0.520,0.620,0.360,0.260,0.050,5.840,4.860,5.050,0.250,0.820,0.000,2.170,3.700,4.810,0.250,2.430,0.010,0.050,0.590,0.000,0.060,0.000
2021-03-17T06:00:00+00:00,1.160,0.140,0.000,3.730,0.230,0.060,0.040,0.470,0.000,10.540,0.010,0.000,0.190,0.010,0.540,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.020,0.000,0.000,0.020,0.070,0.050,0.290,0.090,0.060,0.020,0.130,0.010,0.060,0.000,0.020,3.290,0.000,0.270,0.000,0.010,0.070,0.000,0.130,0.000,0.980,0.000,0.000,0.200,0.000,0.000,0.000
2021-03-17T12:00:00+00:00,0.000,0.000,0.000,0.000,0.020,0.110,0.010,0.350,0.000,6.350,0.010,0.030,0.000,0.000,4.020,0.000,0.000,0.000,0.090,0.000,0.270,0.240,0.010,0.010,0.120,0.000,0.010,0.020,2.810,0.650,0.020,2.050,0.020,0.000,0.010,0.000,0.350,0.000,0.000,0.050,0.000,0.090,0.240,0.000,0.140,-0.000,2.420,0.000,0.020,0.000,0.000,0.000,1.908
2021-03-17T18:00:00+00:00,3.640,2.200,0.000,0.210,2.920,3.560,2.390,1.040,0.680,9.660,2.060,1.220,0.580,1.750,8.390,0.040,0.190,0.040,16.300,0.330,9.400,4.490,1.140,2.300,3.870,0.810,1.930,0.600,11.150,7.270,2.510,5.120,5.800,0.560,0.270,3.070,4.180,0.100,9.000,0.660,8.350,0.700,7.350,1.860,0.800,0.160,9.320,0.350,1.870,4.390,0.530,0.120,1.908
2021-03-18T00:00:00+00:00,1.860,2.480,0.000,1.240,0.190,6.430,0.580,0.660,4.000,2.200,0.820,1.770,2.500,1.630,0.680,0.000,0.140,0.040,5.590,1.630,4.390,6.340,1.630,2.470,1.950,1.780,8.240,0.210,2.850,12.420,3.500,3.180,2.140,0.630,1.610,0.520,0.340,0.090,0.510,0.280,5.570,0.830,1.390,1.460,2.440,0.840,6.740,0.330,1.500,0.540,0.100,0.010,0.000
